ID time Y Z
856 948814 8 662 119
857 952814 1 313 117
858 952814 2 398 117
859 952814 3 429 117
860 952814 4 482 117
861 952814 5 533 117
862 952814 6 550 117
863 952814 7 608 117
864 952814 8 616 117
865 954814 1 311 101
866 954814 2 418 101
867 954814 3 408 101
868 954814 4 469 101
869 954814 5 497 101
870 954814 6 540 101
871 954814 7 573 101
872 954814 8 599 101
873 955814 1 331 98
874 955814 2 386 98
875 955814 3 446 98
876 955814 4 490 98
877 955814 5 484 98
878 955814 6 558 98
879 955814 7 601 98
880 955814 8 628 98
881 958814 1 342 102
882 958814 2 371 102
883 958814 3 422 102
884 958814 4 455 102
885 958814 5 509 102
886 958814 6 519 102
887 958814 7 540 102
888 958814 8 602 102
889 959814 1 319 95
890 959814 2 366 95
891 959814 3 378 95
892 959814 4 440 95
893 959814 5 480 95
894 959814 6 476 95
